timestamp_s,pred_class,soft_err,cte_px,for_spd,turn_spd,delta_turn_spd,off_line_prob,off_line
10.453,off_line,0.2427,NaN,0.05,0.0,0.0,0.7091,1
10.486,off_line,0.2038,NaN,0.05,0.0,0.0,0.7445,1
10.517,off_line,0.2672,NaN,0.05,0.0,0.0,0.6858,1
10.564,off_line,0.2672,NaN,0.05,0.0,0.0,0.6858,1
10.598,off_line,0.2758,NaN,0.05,0.0,0.0,0.6808,1
10.628,off_line,0.2193,NaN,0.05,0.0,0.0,0.7351,1
10.66,off_line,0.2193,NaN,0.05,0.0,0.0,0.7351,1
10.694,off_line,0.2388,NaN,0.05,0.0,0.0,0.7185,1
10.725,off_line,0.2675,NaN,0.05,0.0,0.0,0.683,1
10.756,off_line,0.2675,NaN,0.05,0.0,0.0,0.683,1
10.79,off_line,0.3244,NaN,0.05,0.0,0.0,0.6244,1
10.822,off_line,0.2893,NaN,0.05,0.0,0.0,0.6589,1
10.852,off_line,0.2893,NaN,0.05,0.0,0.0,0.6589,1
10.885,off_line,0.2321,NaN,0.05,0.0,0.0,0.716,1
10.917,off_line,0.2502,NaN,0.05,0.0,0.0,0.6951,1
10.964,off_line,0.2502,NaN,0.05,0.0,0.0,0.6951,1
10.997,off_line,0.3169,NaN,0.05,0.0,0.0,0.6238,1
11.028,off_line,0.3157,NaN,0.05,0.0,0.0,0.6172,1
11.062,off_line,0.3157,NaN,0.05,0.0,0.0,0.6172,1
11.094,off_line,0.4281,NaN,0.2751,1.0,60.0,0.5116,0
11.125,off_line,0.4597,NaN,0.2696,0.3355,39.8673,0.4788,0
11.157,off_line,0.4597,NaN,0.2696,0.1841,9.0861,0.4788,0
11.189,right,0.4882,NaN,0.2646,0.3325,8.9052,0.4527,0
11.221,right,0.5035,NaN,0.2619,0.2748,3.4625,0.444,0
11.252,right,0.5035,NaN,0.2619,0.2019,4.3779,0.444,0
11.284,right,0.6479,NaN,0.2366,0.9532,45.0814,0.3093,0
11.316,right,0.7729,NaN,0.2147,0.91,2.5941,0.1954,0
11.364,right,0.7729,NaN,0.2147,0.31,35.9975,0.1954,0
11.396,right,0.8919,NaN,0.1939,0.9289,37.134,0.0814,0
11.428,right,0.9371,NaN,0.186,0.5929,20.1598,0.0441,0
11.46,right,0.9668,43.93,0.1808,0.5306,3.7404,0.0156,0
11.493,right,0.9668,43.93,0.1808,0.3882,8.5431,0.0156,0
11.524,right,0.9728,42.56,0.1798,0.4197,1.8881,0.0092,0
11.556,right,0.9788,139.82,0.1787,0.422,0.1414,0.0073,0
11.589,right,0.9788,139.82,0.1787,0.3935,1.7122,0.0073,0
11.621,right,0.9809,143.56,0.1783,0.4044,0.6557,0.0073,0
11.653,right,0.987,93.91,0.1773,0.4264,1.3193,0.0048,0
11.683,right,0.9822,96.15,0.1781,0.3725,3.2362,0.0079,0
11.717,right,0.9822,96.15,0.1781,0.3955,1.3824,0.0079,0
11.764,right,0.9583,-33.69,0.1823,0.2714,7.4478,0.0195,0
11.798,right,0.9433,-40.03,0.1849,0.3079,2.19,0.0218,0
11.827,right,0.9433,-40.03,0.1849,0.3804,4.3509,0.0218,0
11.861,right,0.8841,-45.02,0.1953,0.0729,18.4521,0.0367,0
11.892,right,0.8095,-44.41,0.2083,-0.0307,6.2112,0.058,0
11.926,right,0.8095,-44.41,0.2083,0.3273,21.479,0.058,0
11.956,right,0.8001,-37.68,0.21,0.2782,2.9483,0.0521,0
12.02,right,0.744,-30.56,0.2198,0.0323,14.7504,0.0476,0
12.053,right,0.7848,-19.17,0.2127,0.5137,28.8796,0.0428,0
12.084,right,0.7848,-19.17,0.2127,0.3179,11.7431,0.0428,0
12.116,right,0.7564,NaN,0.2176,0.1701,8.8696,0.0811,0
12.163,right,0.6194,NaN,0.2416,-0.4055,34.5345,0.1561,0
12.197,right,0.6194,NaN,0.2416,0.2521,39.4539,0.1561,0
12.231,off_line,0.2751,71.8,0.3019,-1.0,75.1267,0.51,0
12.261,off_line,0.3111,NaN,0.2956,0.3016,78.0962,0.4893,0
12.293,off_line,0.3111,NaN,0.2956,0.1289,10.3598,0.4893,0
12.325,off_line,0.1674,NaN,0.05,0.0,7.7364,0.7133,1
